month,variable,sex,Alberta,British Columbia,Manitoba,New Brunswick,Newfoundland and Labrador,Nova Scotia,Ontario,Prince Edward Island,Quebec,Saskatchewan
1976-03,Full-time employment,Both sexes,711.4,891.2,374.4,206.6,149.6,265.6,3233.9,37.4,2322.9,316.6
1976-03,Full-time employment,Females,225.7,283.1,120.1,63.9,41.5,84.4,1089.9,12.7,737.2,92.6
1976-03,Full-time employment,Males,485.7,608.1,254.4,142.7,108.1,181.1,2143.9,24.7,1585.7,224
1976-03,Part-time employment ,Both sexes,130.4,156.4,57.7,24.2,12.1,35.7,494.5,6.1,222.5,55.2
1976-03,Part-time employment ,Females,92.4,105.9,41.8,18.6,8.4,25.2,351.1,4.1,148.6,37.7
1976-03,Part-time employment ,Males,38,50.4,15.8,5.6,3.7,10.5,143.4,2.1,73.8,17.5
1976-04,Employment,Both sexes,846.2,1048.6,435.3,233,161.3,302.7,3735.7,42.9,2552,380.6
1976-04,Employment,Females,318.8,390,166.9,82.9,50,110.1,1432,16.1,891.3,134.7
1976-04,Employment,Males,527.3,658.5,268.3,150.1,111.3,192.6,2303.7,26.8,1660.8,245.8
1976-04,Full-time employment,Both sexes,719.3,891,375.5,208.9,150.7,266.2,3234.7,37.7,2331.2,325
1976-04,Full-time employment,Females,229.8,283,122.5,64.4,43.2,85.1,1077.6,12.5,736.4,97.9
1976-04,Full-time employment,Males,489.4,608,253,144.5,107.4,181.1,2157.1,25.2,1594.8,227.1
1976-04,Part-time employment ,Both sexes,126.9,157.6,59.8,24.2,10.6,36.5,501,5.2,220.8,55.6
1976-04,Part-time employment ,Females,89,107.1,44.4,18.5,6.7,25,354.4,3.6,154.8,36.9
1976-04,Part-time employment ,Males,37.9,50.5,15.3,5.6,3.9,11.5,146.6,1.6,66,18.7
1976-05,Employment,Both sexes,849.5,1048.3,432.3,230.6,160.6,298,3734.2,42.8,2547.6,382
1976-05,Employment,Females,317,391.8,164.4,82.9,49.7,106.8,1437.9,15.8,898.9,135.1
1976-05,Employment,Males,532.4,656.6,268,147.8,110.9,191.3,2296.4,27,1648.7,246.9
1976-05,Full-time employment,Both sexes,724.9,902.9,369.1,205.1,149.2,260.3,3226.9,37.1,2329.6,324.6
1976-05,Full-time employment,Females,231.4,286.9,118.1,64.8,42.7,81.3,1075.6,12,749.7,96.8
1976-05,Full-time employment,Males,493.6,616,251,140.4,106.5,178.9,2151.3,25.1,1579.9,227.8
1976-05,Part-time employment ,Both sexes,124.5,145.5,63.2,25.5,11.4,37.8,507.3,5.7,218,57.4
1976-05,Part-time employment ,Females,85.7,104.9,46.3,18.1,7,25.4,362.3,3.7,149.3,38.3
1976-05,Part-time employment ,Males,38.8,40.6,16.9,7.4,4.4,12.4,145,2,68.8,19.1
1976-06,Employment,Both sexes,854,1053,435.5,231.4,158.9,294.9,3745.2,41.9,2549.4,384
1976-06,Employment,Females,319.6,395.4,167.6,82.9,51.3,108,1440.2,15.3,904.7,136.5
1976-06,Employment,Males,534.4,657.6,267.9,148.5,107.6,187,2305,26.6,1644.7,247.5
1976-06,Full-time employment,Both sexes,733.6,891.7,372,206.6,146.2,254.3,3221.9,36,2329.9,326.9
1976-06,Full-time employment,Females,233.7,281.3,120.8,64.6,43.3,78.7,1071.4,11.7,755.7,97.6
1976-06,Full-time employment,Males,499.9,610.5,251.2,142,102.9,175.7,2150.6,24.3,1574.2,229.3
1976-06,Part-time employment ,Both sexes,120.5,161.2,63.5,24.8,12.7,40.6,523.3,5.9,219.6,57.1
1976-06,Part-time employment ,Females,85.9,114.1,46.8,18.3,8.1,29.3,368.8,3.7,149.1,38.9
1976-06,Part-time employment ,Males,34.6,47.1,16.7,6.5,4.7,11.3,154.4,2.3,70.5,18.2
1976-07,Employment,Both sexes,858.5,1068.1,437.8,230,155.7,294.2,3741.3,42.2,2549.7,381.9
1976-07,Employment,Females,323.6,398.8,168.3,82.5,49.3,105.5,1434.9,15.6,910,131.2
1976-07,Employment,Males,534.9,669.4,269.5,147.5,106.4,188.8,2306.4,26.6,1639.7,250.6
1976-07,Full-time employment,Both sexes,739.6,891.5,373.8,204.2,143.3,258.5,3252.7,36.1,2325.1,319.7
1976-07,Full-time employment,Females,235.9,277.6,122.8,64.2,40.3,79.3,1092.8,11.4,752,88.4
1976-07,Full-time employment,Males,503.7,613.8,250.9,140,103,179.3,2159.9,24.7,1573.1,231.3
1976-07,Part-time employment ,Both sexes,118.9,176.7,64.1,25.8,12.4,35.7,488.7,6.1,224.6,62.1
1976-07,Part-time employment ,Females,87.7,121.1,45.5,18.4,9.1,26.2,342.1,4.2,158,42.9
1976-07,Part-time employment ,Males,31.2,55.5,18.6,7.5,3.3,9.5,146.6,2,66.6,19.3
1976-08,Employment,Both sexes,861.3,1077.5,439.7,232.7,156.5,293.9,3754.5,42.4,2534.6,387.5
1976-08,Employment,Females,326.2,400,169.8,83.2,50.5,107.2,1450.2,15.6,905.5,136.1
1976-08,Employment,Males,535.1,677.5,269.9,149.5,106,186.7,2304.2,26.8,1629.1,251.4
1976-08,Full-time employment,Both sexes,739.2,914.2,380.1,206.9,144.1,258,3253.2,35.9,2305.1,325.1
1976-08,Full-time employment,Females,235.8,282.7,128.9,65.2,41.8,82.2,1098.3,11.3,744.1,95.1
1976-08,Full-time employment,Males,503.4,631.5,251.2,141.7,102.3,175.8,2154.9,24.5,1561,230.1
1976-08,Part-time employment ,Both sexes,122.2,163.2,59.5,25.8,12.3,35.9,501.2,6.5,229.5,62.4
1976-08,Part-time employment ,Females,90.4,117.3,40.9,18,8.6,25,351.9,4.3,161.4,41.1
1976-08,Part-time employment ,Males,31.7,46,18.7,7.8,3.7,10.9,149.3,2.2,68.1,21.3
1976-09,Employment,Both sexes,875.1,1073.3,437.1,232.6,157.8,297.1,3753.7,43.5,2535.3,389.8
1976-09,Employment,Females,331.5,400,168.7,82.8,51.1,109.4,1444.5,16.1,900.2,136.7
1976-09,Employment,Males,543.6,673.3,268.3,149.8,106.7,187.7,2309.1,27.4,1635.1,253
1976-09,Full-time employment,Both sexes,748.5,916.9,377.7,207.5,145.6,260.3,3250.3,37.4,2307.6,330.8
1976-09,Full-time employment,Females,239.6,288.4,127.5,65,42.6,83.5,1089.2,12,742.1,97.8
1976-09,Full-time employment,Males,508.9,628.4,250.2,142.5,103.1,176.8,2161.1,25.5,1565.5,233
1976-09,Part-time employment ,Both sexes,126.7,156.5,59.4,25.1,12.2,36.8,503.4,6.1,227.7,59
1976-09,Part-time employment ,Females,92,111.6,41.3,17.8,8.6,25.9,355.3,4.1,158.1,39
1976-09,Part-time employment ,Males,34.7,44.9,18.1,7.2,3.6,10.9,148.1,2,69.6,20
1976-10,Employment,Both sexes,870.2,1081.2,436.5,230.6,158.1,297,3744.2,43.3,2538.8,382.6
1976-10,Employment,Females,325.5,403,169,81.7,51.7,108.7,1453.3,15.9,912.2,134.5
1976-10,Employment,Males,544.7,678.2,267.5,148.9,106.3,188.4,2290.8,27.4,1626.6,248.1
1976-10,Full-time employment,Both sexes,741.5,921.6,373.7,205.8,145.1,259.9,3234.4,36.7,2297.3,321.7
1976-10,Full-time employment,Females,231.9,289.1,124.7,63.8,42.7,82.9,1091.2,11.7,748.8,93.1
1976-10,Full-time employment,Males,509.6,632.5,249,142,102.4,177,2143.2,25,1548.5,228.6
1976-10,Part-time employment ,Both sexes,128.7,159.6,62.8,24.8,13,37.2,509.7,6.6,241.5,60.9
1976-10,Part-time employment ,Females,93.6,113.9,44.2,17.9,9,25.8,362.1,4.2,163.5,41.3
1976-10,Part-time employment ,Males,35.1,45.7,18.5,6.9,3.9,11.3,147.6,2.4,78.1,19.6
1976-11,Employment,Both sexes,880.6,1083.4,439.5,230.7,156.8,296.1,3764.1,44.5,2543.1,390.4
1976-11,Employment,Females,331.1,403.3,171.7,80.8,51.3,109.5,1459.7,16.4,914.9,135.4
1976-11,Employment,Males,549.5,680.1,267.8,149.9,105.4,186.6,2304.4,28.1,1628.1,254.9
1976-11,Full-time employment,Both sexes,750,921.3,372.6,203.8,144.9,260.1,3245.1,37.6,2294.9,330.3
1976-11,Full-time employment,Females,236,290.4,124.2,61.8,43.2,84.3,1090.6,12.2,746,95.2
1976-11,Full-time employment,Males,514,630.9,248.4,142,101.7,175.7,2154.6,25.4,1549,235.1
1976-11,Part-time employment ,Both sexes,130.6,162.2,66.9,26.8,11.8,36,519,6.8,248.2,60
1976-11,Part-time employment ,Females,95.1,112.9,47.5,19,8.1,25.1,369.1,4.2,169,40.2
1976-11,Part-time employment ,Males,35.5,49.2,19.4,7.9,3.7,10.9,149.8,2.6,79.2,19.8
1976-12,Employment,Both sexes,882.2,1084.1,435.6,229.4,159.8,298.1,3774.2,43.4,2565.1,390.8
1976-12,Employment,Females,330.3,402,168.1,80.9,53,111,1477.1,15.8,919.3,134.6
1976-12,Employment,Males,551.8,682.1,267.5,148.5,106.8,187.1,2297,27.6,1645.8,256.2
1976-12,Full-time employment,Both sexes,751.5,926.2,365.4,203.1,147.6,262.8,3260,37,2320.3,332.5
1976-12,Full-time employment,Females,234.7,296.3,118.6,61.9,44.4,86.6,1104.6,11.7,753.4,95.1
1976-12,Full-time employment,Males,516.9,629.9,246.8,141.2,103.2,176.2,2155.3,25.2,1567,237.4
1976-12,Part-time employment ,Both sexes,130.6,158,70.2,26.2,12.3,35.3,514.2,6.4,244.8,58.4
1976-12,Part-time employment ,Females,95.7,105.8,49.5,19,8.6,24.3,372.5,4,165.9,39.5
1976-12,Part-time employment ,Males,35,52.2,20.6,7.3,3.7,10.9,141.7,2.4,78.9,18.8
1977-01,Employment,Both sexes,888.4,1085.2,434.9,228.6,157,296.1,3776.6,43.5,2570.8,388.2
1977-01,Employment,Females,333.9,401.4,169.1,80.8,52,108.7,1480,16.2,923.5,130.9
1977-01,Employment,Males,554.5,683.8,265.8,147.7,105.1,187.4,2296.5,27.3,1647.3,257.3
1977-01,Full-time employment,Both sexes,762,921.6,369.1,202.3,145.6,264.4,3250.8,37.4,2324.2,337.7
1977-01,Full-time employment,Females,242.8,287,121.1,61.7,44,87.6,1101.7,12.3,755.2,96
1977-01,Full-time employment,Males,519.2,634.6,248,140.6,101.5,176.8,2149.1,25.1,1569,241.7
1977-01,Part-time employment ,Both sexes,126.4,163.5,65.8,26.3,11.5,31.7,525.8,6.1,246.6,50.5
1977-01,Part-time employment ,Females,91.1,114.3,47.9,19.2,8,21.1,378.4,3.9,168.4,34.9
1977-01,Part-time employment ,Males,35.3,49.2,17.9,7.1,3.5,10.6,147.4,2.2,78.2,15.6
1977-02,Employment,Both sexes,892.8,1084.9,437.1,228.4,159.6,296,3774.8,43.5,2565,392
1977-02,Employment,Females,335.4,401.3,169.5,80.7,52.6,109,1478.9,16.2,924.1,134.5
1977-02,Employment,Males,557.4,683.6,267.7,147.7,107,187.1,2295.9,27.3,1640.9,257.5
1977-02,Full-time employment,Both sexes,765.3,926,368.7,202.9,148.2,259.9,3250.5,36.7,2316.5,336.5
1977-02,Full-time employment,Females,245.8,288.7,120.8,62.3,44.6,84.7,1101.9,11.8,754,96.3
1977-02,Full-time employment,Males,519.5,637.3,247.9,140.6,103.6,175.2,2148.6,24.9,1562.5,240.2
1977-02,Part-time employment ,Both sexes,127.5,158.9,68.4,25.5,11.4,36.2,524.3,6.8,248.5,55.4
1977-02,Part-time employment ,Females,89.5,112.6,48.7,18.4,8,24.2,377,4.4,170.1,38.2
1977-02,Part-time employment ,Males,38,46.3,19.8,7.1,3.4,11.9,147.3,2.3,78.4,17.2
1977-03,Employment,Both sexes,885.3,1080.1,435.8,227.4,162.4,301,3767.9,43.4,2567.6,394.8
1977-03,Employment,Females,333,403,169.5,80.9,54.3,111.2,1472.4,16.2,925.8,136.6
1977-03,Employment,Males,552.4,677.1,266.3,146.5,108.1,189.8,2295.5,27.2,1641.7,258.2
1977-03,Full-time employment,Both sexes,767.3,917.1,366.2,203.2,149.5,262.8,3247.8,36.4,2305.6,333.5
1977-03,Full-time employment,Females,246.9,286.9,121.2,63,45,85.7,1104,11.4,752.3,95.7
1977-03,Full-time employment,Males,520.4,630.2,245,140.2,104.5,177.2,2143.8,25,1553.3,237.8
1977-03,Part-time employment ,Both sexes,118,163,69.6,24.2,12.9,38.1,520.1,7,262,61.3
1977-03,Part-time employment ,Females,86.1,116.1,48.3,17.9,9.3,25.6,368.4,4.8,173.5,40.9
1977-03,Part-time employment ,Males,32,46.9,21.3,6.3,3.6,12.6,151.7,2.2,88.4,20.4
1977-04,Employment,Both sexes,902.1,1076.6,439.8,228.8,157.9,299.6,3784.1,43.6,2564.3,395.7
1977-04,Employment,Females,335.5,400,170.5,81.6,53.8,112.2,1475.8,16,926.3,138.4
1977-04,Employment,Males,566.6,676.6,269.3,147.2,104.1,187.4,2308.3,27.6,1638,257.3
1977-04,Full-time employment,Both sexes,775.2,914.2,369.9,203.1,145.5,259,3271.4,36.8,2310.5,334.9
1977-04,Full-time employment,Females,246.7,284.2,120.8,63.5,45.1,85.4,1115.6,11.7,755.7,96.3
1977-04,Full-time employment,Males,528.5,630,249,139.6,100.4,173.7,2155.8,25.2,1554.8,238.6
1977-04,Part-time employment ,Both sexes,126.9,162.4,70,25.7,12.4,40.6,512.8,6.8,253.8,60.8
1977-04,Part-time employment ,Females,88.8,115.9,49.7,18.1,8.7,26.8,360.2,4.4,170.6,42.1
1977-04,Part-time employment ,Males,38.1,46.6,20.3,7.5,3.8,13.8,152.6,2.4,83.2,18.7
1977-05,Employment,Both sexes,896.9,1095.9,438.1,225.6,163.3,297.6,3794.7,43.3,2565.4,391.2
1977-05,Employment,Females,337.1,411.6,171,79.4,54.4,110.5,1481.8,16.3,932.4,137.7
1977-05,Employment,Males,559.8,684.3,267.1,146.1,108.9,187.1,2312.9,27,1633,253.5
1977-05,Full-time employment,Both sexes,768.9,928,373.6,199.1,149.3,257.3,3270,37.1,2306.7,329.8
1977-05,Full-time employment,Females,247.4,290.4,124.1,60.1,44.7,84.3,1110.1,12.1,757.1,96.4
1977-05,Full-time employment,Males,521.5,637.5,249.4,139,104.6,173,2159.9,24.9,1549.5,233.4
1977-05,Part-time employment ,Both sexes,128,167.9,64.6,26.5,14,40.3,524.7,6.2,258.7,61.4
1977-05,Part-time employment ,Females,89.7,121.1,46.8,19.3,9.7,26.1,371.7,4.2,175.2,41.3
1977-05,Part-time employment ,Males,38.3,46.8,17.7,7.1,4.4,14.1,153,2.1,83.5,20.1
1977-06,Employment,Both sexes,901.3,1089,439.8,226.2,160.5,297.3,3800,43.5,2555,394.5
1977-06,Employment,Females,338.2,406.6,170.6,79.7,54.7,110,1482.1,16.3,930.8,138.7
1977-06,Employment,Males,563.1,682.3,269.2,146.5,105.8,187.3,2317.9,27.2,1624.2,255.8
1977-06,Full-time employment,Both sexes,770.5,919.5,373.7,199.7,147.8,258.6,3264.8,37.2,2309.1,330.4
1977-06,Full-time employment,Females,247,284.1,123.7,60.7,45.5,84.3,1104.7,11.9,763.4,96.2
1977-06,Full-time employment,Males,523.5,635.4,250,139.1,102.3,174.3,2160,25.3,1545.7,234.2
1977-06,Part-time employment ,Both sexes,130.8,169.5,66.1,26.4,12.6,38.7,535.2,6.3,245.9,64.1
1977-06,Part-time employment ,Females,91.2,122.5,46.9,19,9.2,25.7,377.3,4.4,167.4,42.5
1977-06,Part-time employment ,Males,39.6,46.9,19.2,7.4,3.5,13,157.8,1.9,78.5,21.6
1977-07,Employment,Both sexes,901.2,1097.3,438.5,229.7,160.4,297.7,3809.1,43.3,2540.9,393.3
1977-07,Employment,Females,337.7,414,169.6,81.3,53.4,110.2,1485.1,16.3,921.7,139.9
1977-07,Employment,Males,563.6,683.3,268.9,148.4,107.1,187.5,2324,27,1619.3,253.4
1977-07,Full-time employment,Both sexes,764.3,929.5,372.4,202.6,146.9,258.4,3274.6,37.5,2300.6,332.8
1977-07,Full-time employment,Females,242.4,294,122,61.3,44.1,83.3,1099.7,12,761.1,99
1977-07,Full-time employment,Males,521.8,635.5,250.4,141.3,102.8,175.1,2174.9,25.5,1539.5,233.8
1977-07,Part-time employment ,Both sexes,137,167.8,66.1,27.1,13.6,39.2,534.5,5.8,240.3,60.5
1977-07,Part-time employment ,Females,95.2,120,47.6,20,9.3,26.9,385.3,4.3,160.6,40.9
1977-07,Part-time employment ,Males,41.7,47.8,18.5,7.1,4.3,12.4,149.2,1.5,79.7,19.6
1977-08,Employment,Both sexes,908.6,1092.2,441.3,229.4,161.4,299,3811.3,43.9,2550.2,399.3
1977-08,Employment,Females,340.9,407.8,171,81.5,54.4,110.9,1490.6,16.2,921.5,143
1977-08,Employment,Males,567.7,684.4,270.3,147.9,107,188.1,2320.7,27.7,1628.7,256.3
1977-08,Full-time employment,Both sexes,771.9,920.9,376.3,200.7,147.3,257.5,3270.7,38.4,2309.8,335.4
1977-08,Full-time employment,Females,245.3,285.9,124,61.3,44.8,83.3,1102.1,12.5,765.3,100.9
1977-08,Full-time employment,Males,526.6,635,252.3,139.5,102.5,174.2,2168.6,25.9,1544.5,234.5
1977-08,Part-time employment ,Both sexes,136.7,171.3,65.1,28.7,14.1,41.5,540.6,5.5,240.4,63.9
1977-08,Part-time employment ,Females,95.5,121.8,47.1,20.2,9.6,27.5,388.6,3.7,156.2,42.2
1977-08,Part-time employment ,Males,41.1,49.5,18,8.5,4.6,13.9,152,1.8,84.2,21.8
1977-09,Employment,Both sexes,915.2,1094.5,438.3,226.9,160,296,3811.4,43.5,2552,399.2
1977-09,Employment,Females,349.7,405.7,169,80.8,54.3,110.4,1489.4,16.2,930.3,142.9
1977-09,Employment,Males,565.6,688.8,269.3,146.1,105.7,185.6,2322,27.3,1621.7,256.3
1977-09,Full-time employment,Both sexes,778.4,925.7,374.7,200.3,146.4,255,3269.5,37.6,2310.7,333.2
1977-09,Full-time employment,Females,254.6,285.7,121.7,61.8,45,83.7,1097.3,12,773.1,99.7
1977-09,Full-time employment,Males,523.8,640,253,138.5,101.4,171.3,2172.2,25.6,1537.6,233.5
1977-09,Part-time employment ,Both sexes,136.8,168.8,63.6,26.7,13.5,41,541.9,5.9,241.3,66
1977-09,Part-time employment ,Females,95.1,120,47.3,19.1,9.3,26.7,392.1,4.2,157.2,43.2
1977-09,Part-time employment ,Males,41.8,48.9,16.3,7.6,4.3,14.3,149.8,1.6,84.1,22.8
1977-10,Employment,Both sexes,918.3,1087.1,440.9,228.5,159.8,297.9,3839.2,43.4,2545.1,401.9
1977-10,Employment,Females,349.2,398.6,173.5,82.2,54.9,111.4,1497.5,16.1,928.8,144.6
1977-10,Employment,Males,569.1,688.4,267.5,146.3,104.9,186.5,2341.7,27.3,1616.3,257.4
1977-10,Full-time employment,Both sexes,783.4,917.8,373.4,201.1,146.9,256.5,3289.8,37.5,2297.2,336.3
1977-10,Full-time employment,Females,253.4,279.9,124.2,62.9,46.3,84.7,1105.2,11.7,761.9,101.3
1977-10,Full-time employment,Males,530,637.9,249.1,138.2,100.6,171.8,2184.6,25.8,1535.3,235
1977-10,Part-time employment ,Both sexes,134.8,169.3,67.6,27.4,12.9,41.3,549.4,6,247.9,65.6
1977-10,Part-time employment ,Females,95.8,118.8,49.3,19.3,8.6,26.7,392.3,4.4,167,43.3
1977-10,Part-time employment ,Males,39.1,50.6,18.3,8.2,4.3,14.7,157.1,1.5,81,22.3
1977-11,Employment,Both sexes,917.5,1093.6,436.5,228,164.9,299.2,3839.9,43.9,2552.8,400
1977-11,Employment,Females,347.4,404.8,168.9,82.5,57.5,111.5,1497.5,16.2,930.9,145.3
1977-11,Employment,Males,570.1,688.9,267.6,145.5,107.4,187.7,2342.3,27.7,1621.8,254.7
1977-11,Full-time employment,Both sexes,784.8,929.5,371.7,202.1,150.1,257.5,3292.6,37.8,2295,334.6
1977-11,Full-time employment,Females,251.3,287.8,122.9,64.3,47,84.2,1106.4,11.9,755,101.6
1977-11,Full-time employment,Males,533.5,641.7,248.8,137.8,103.1,173.4,2186.1,25.9,1540,233
1977-11,Part-time employment ,Both sexes,132.7,164.1,64.8,25.9,14.7,41.7,547.3,6.1,257.8,65.4
1977-11,Part-time employment ,Females,96.1,117,46,18.2,10.4,27.4,391.1,4.3,176,43.7
1977-11,Part-time employment ,Males,36.6,47.1,18.8,7.7,4.3,14.3,156.2,1.8,81.8,21.7
1977-12,Employment,Both sexes,924.7,1099.6,436.5,230.1,163.6,300.1,3841.8,43.9,2566.5,395.3
1977-12,Employment,Females,351.7,411,168.9,83.4,56.7,112.6,1502.9,16.4,938.5,142.9
1977-12,Employment,Males,573,688.6,267.6,146.7,106.9,187.6,2338.9,27.5,1628.1,252.5
1977-12,Full-time employment,Both sexes,785.6,931.8,369.7,202.1,150.5,258.9,3300.7,37.5,2302.7,329.4
1977-12,Full-time employment,Females,252,291.3,122.4,63.5,47.3,85.7,1111.6,12,759.7,99.4
1977-12,Full-time employment,Males,533.6,640.6,247.3,138.7,103.2,173.2,2189.1,25.6,1543,230
1977-12,Part-time employment ,Both sexes,139.1,167.8,66.9,28,13.1,41.2,541.1,6.4,263.8,66
1977-12,Part-time employment ,Females,99.8,119.8,46.5,20,9.4,26.9,391.3,4.4,178.7,43.5
1977-12,Part-time employment ,Males,39.3,48,20.4,8,3.7,14.3,149.8,2,85,22.5
1978-01,Employment,Both sexes,927.9,1107.8,439,232.9,165.2,300.7,3859,44,2540.5,396
1978-01,Employment,Females,352.4,415.6,170.4,83.7,57.6,113.7,1510.2,16.5,936.4,143.4
1978-01,Employment,Males,575.5,692.2,268.6,149.2,107.7,187,2348.8,27.5,1604,252.6
1978-01,Full-time employment,Both sexes,791,944.7,370.8,206.1,153.6,259.4,3321.2,37.8,2276.9,330.9
1978-01,Full-time employment,Females,251.1,300.1,123.3,64.8,49.4,86.9,1121.4,12.1,757.6,99.2
1978-01,Full-time employment,Males,539.9,644.6,247.5,141.2,104.2,172.4,2199.9,25.7,1519.3,231.6
1978-01,Part-time employment ,Both sexes,136.9,163.1,68.2,26.9,11.6,41.4,537.8,6.2,263.6,65.1
1978-01,Part-time employment ,Females,101.3,115.5,47,18.9,8.2,26.8,388.9,4.4,178.8,44.1
1978-01,Part-time employment ,Males,35.6,47.6,21.2,8,3.4,14.5,148.9,1.8,84.8,21
1978-02,Employment,Both sexes,933.5,1115,441.3,232.9,164,302.2,3870.2,44.3,2564.4,399.8
1978-02,Employment,Females,352.7,416.6,172,84,57.5,114.8,1513.1,16.7,944.3,144.8
1978-02,Employment,Males,580.7,698.4,269.3,148.9,106.5,187.4,2357,27.7,1620,255
1978-02,Full-time employment,Both sexes,790.2,953.5,372.9,205.7,151.3,262.2,3335.7,38.4,2305.3,332.5
1978-02,Full-time employment,Females,248.4,302.8,124.5,64.9,48.8,88.2,1126.6,12.6,758.6,99.1
1978-02,Full-time employment,Males,541.7,650.7,248.5,140.8,102.5,174,2209,25.8,1546.8,233.5
1978-02,Part-time employment ,Both sexes,143.3,161.5,68.4,27.2,12.7,40,534.5,5.9,259,67.3
1978-02,Part-time employment ,Females,104.3,113.9,47.6,19.1,8.7,26.7,386.5,4.1,185.7,45.7
1978-02,Part-time employment ,Males,39,47.7,20.8,8.1,4,13.4,148,1.8,73.3,21.5
1978-03,Employment,Both sexes,938.5,1123.2,440.7,234.8,161.9,298.9,3889.8,44.7,2570.8,397.2
1978-03,Employment,Females,353.3,421,170.8,85.6,57.1,112.8,1524.3,17,948.6,143.3
1978-03,Employment,Males,585.2,702.1,269.9,149.3,104.8,186,2365.5,27.7,1622.1,253.9
1978-03,Full-time employment,Both sexes,796.9,961.5,371.7,207.6,147.8,259.5,3351.4,38.9,2314.3,332.2
1978-03,Full-time employment,Females,247.5,304.3,123,66.5,47.7,86.8,1140.2,12.9,771.9,99.4
1978-03,Full-time employment,Males,549.4,657.2,248.7,141.1,100.1,172.6,2211.2,25.9,1542.4,232.8
1978-03,Part-time employment ,Both sexes,141.6,161.7,69,27.3,14.1,39.4,538.4,5.8,256.5,65.1
1978-03,Part-time employment ,Females,105.8,116.8,47.8,19.1,9.5,26,384.1,4.1,176.8,43.9
1978-03,Part-time employment ,Males,35.8,44.9,21.2,8.2,4.7,13.4,154.3,1.8,79.7,21.1
1978-04,Employment,Both sexes,949.4,1131.4,441.7,236.2,159.5,301.7,3894.4,43.6,2571.8,399
1978-04,Employment,Females,356.9,425.3,172.1,86.9,57.6,113.8,1531.5,16.5,958.3,142.7
1978-04,Employment,Males,592.5,706.1,269.6,149.3,101.9,187.8,2362.9,27.2,1613.5,256.3
1978-04,Full-time employment,Both sexes,800.9,964.6,371.6,208,144.8,264.6,3352.6,38,2305.4,331.5
1978-04,Full-time employment,Females,245.6,309.2,123.8,66.9,46.8,88.3,1143.7,12.5,775.3,97.6
1978-04,Full-time employment,Males,555.3,655.4,247.8,141.1,98,176.3,2208.9,25.5,1530.2,233.9
1978-04,Part-time employment ,Both sexes,148.5,166.8,70.1,28.2,14.7,37,541.8,5.6,266.4,67.5
1978-04,Part-time employment ,Females,111.3,116.1,48.3,20.1,10.8,25.6,387.8,4,183.1,45.1
1978-04,Part-time employment ,Males,37.2,50.6,21.8,8.2,3.9,11.5,154,1.6,83.3,22.5
1978-05,Employment,Both sexes,954.8,1133,441.3,236.3,162.9,300.3,3887.2,44.9,2582.7,403.3
1978-05,Employment,Females,360.6,426.7,171.9,87.7,57.3,113.4,1533.1,17,952.8,144
